Conditions,Outcome Measures
2019-nCoV|Immunoglobulin of Cured Patients,Time to Clinical Improvement (TTCI)|Clinical status assessed by the ordinal scale|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|The lesions of the pulmonary segment numbers involved in pulmonary CT [ every 7 days]|Time to 2019-nCoV RT-PCR negativity in respiratory tract specimens [every 3 days]|Dynamic changes of 2019-nCoV antibody titer in blood|Length of hospital stay (days)|All cause mortality
ACS-COVID-19-Assiut,"Main Number, distribution and oucome of all ACS patients coming to Assiut heart hospital|To register pathological events occurring to all acute coronary syndrome patients coming to Assiut university heart hospital through one year during COVID- 19 pandemic"
AKI|ARDS|COVID,Mortality at Day 60|Dialysis Dependency|Ventilation at Day 28|Mortality at Day 28|Urinary output change|P02/FiO2 change|Safety Assessments|SCD Integrity
"ALL, Adult",Automated Self-Administered 24-Hour Dietary Recall (ASA24)|International Physical Activity Questionnaire (IPAQ)|Health-Related Quality of Life SF-12 Scale|State trait inventory for cognitive and somatic anxiety (STISA).|Beck Depression inventory (BDI)
"AMD, ACEi's/ARB Prevent/Worsen Risk of COVID-19 Infection",Identification of serious COVID-19 infections|Pneumonia infections|ICU stay|Oro-tracheal intubation|Death
ARDS,"All-cause 60-day mortality|Duration of ventilation|Duration of ICU and hospital stay|Number of patients with organ dysfunction|Number of patients with barotrauma|Mortality at ICU discharge, 28 days, and hospital discharge, Ventilatory ratio correlation|Mortality, Ventilator-Free Days|Safety and Tolerability as measured by the incidence of treatment-emergent adverse events as assessed by CTCAE v5.0.|All-cause mortality|Ranked hierarchical composite outcome of alive and ventilator-free|Ventilator-free days"
ARDS Associated With COVID-19,arterial oxygen partial pressure (PaO2)
ARDS Due to COVID-19,Mean duration of oxygen therapy (days) in the treatment group and in the control group.|The proportion of patients who required ALV within 5 days after the start of treatment.|Change from baseline in PaO2/FiO2 ratio dynamics within 5 days after the start of treatment.|Change from baseline in SpO2 dynamics within 5 days after the start of treatment.|Proportion of patients who achieved an oxygenation index (PaO2/FiO2) of > 300 mm hg.|Proportion of patients dead of any reason within 30 days after the start of treatment.|Time to patient transfer to mechanically ventilated.|Change from the baseline in the severity assessment of the patient's condition according to the NEWS-II scale within 5 days after the start of treatment.|Change from baseline in leukocytes within 5 days after the start of treatment.|Change from baseline in lymphocytes within 5 days after the start of treatment.|Change from baseline in CRP within 5 days after the start of treatment.|Change from baseline in ferritin within 5 days after the start of treatment.|Change from baseline in D-dimer within 5 days after the start of treatment.
ARDS Related to Severe Acute Respiratory Syndrome-Coronavirus (SARS-CoV) 2|Acute Refractory Heart Failure Related to SARS-CoV 2,Hospital mortality|Mortality Day 28|Mortality Day 90|Ventilator-free days|Intensive care unit-free days|Hospital-free days
ARDS Secondary to COVID-19 Pneumonia,SOFA|Number and phenotype of lymphocytes|HLA-DR|Number of Myeloid-derived suppressor cells|Plasma cytokines / chemokines|Repertoire T|Lymphocyte T exhaustion|Mitochondrial activity|Plasma amino acids|Duration of hospitalization in intensive care|Duration of hospital stay in hospital|Duration of mechanical ventilation|Mortality in intensive care on day 28|Hospital mortality on day 28|Measurement of the presence of SARS-CoV2|Nosocomial infections|Number of days of exposure to each antibiotic per 1000 days of hospitalization
"ARDS, Human|COVID","Overall survival|Assessment of the duration of ventilation support|cytokine storm|time on ICU|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|time frame for seroconversion under ruxolitinib treatment (SARS-Co-19- IgG)|Rates of flow|Gas exchange|Forced expiratory volume in 1 second (FEV1)|Forced vital capacity (FVC)|Tiffeneau-Pinelli index, PaO2/FiO2 ratio|Ventilator-free days|Mortality, The incidence of pre-specified treatment related adverse events of interest (TRAEIs).|Safety; All-cause mortality|Changes in Leucocytes|Changes in Trombocytes|Changes in plasma concentration of C-reactive protein (CRP)|Changes in plasma concentration of Prothrombin complex (PK)|Changes in plasma concentration of Creatinine|Changes in plasma concentration of Aspartate amino transferase (ASAT)|Changes in plasma concentration of Alanine amino transferase (ALAT)|Changes in plasma concentration of N-terminal pro-brain natriuretic peptide (NT-proBNP)|Changes in Blood pressure|Changes in Body temperature|Efficacy; Changes in pulmonary compliance|Efficacy; Changes in driving pressure (Plateau pressure- PEEP)|Efficacy; Changes in oxygenation (PaO2/FiO2)|Efficacy; Duration of ventilator support|Efficacy; Pulmonary bilateral infiltrates|Efficacy; Sequential Organ Failure Assessment (SOFA) score|Efficacy; Hospital stay|Lung function|Lung fibrosis|Six minutes walk test|Changes in Quality of life|Blood biomarkers|Sensitisation test"
"ARDS, Human|COVID-19","28 day all cause mortality|90 day all cause mortality|Sepsis-related organ failure assessment score at day 1-14, 28 and 90 days|duration of mechanical ventilation support|Ventilator Associated Pneumonia|Bleeding complications|Acute Renal Failure|Discharge Location, Adverse events (patient) - Decrease in oxygenation|Adverse events (patient) - Decrease in hemodynamics|Adverse event (healthcare worker) - Circuit breach|Adverse event (healthcare worker) - COVID-19 symptoms|Change in oxygenation|Change in Lung compliance|Ventilated days|Length of ICU stay|Length of hospital stay|Mortality|G-CSF levels (serum inflammatory biomarker)|GM-CSF levels (serum inflammatory biomarker)|IFN gamma levels (serum inflammatory biomarker)|IL-1 beta levels (serum inflammatory biomarker)|IL-4 levels (serum inflammatory biomarker)|IL-6 levels (serum inflammatory biomarker)|IL-10 levels (serum inflammatory biomarker)|I levels (serum inflammatory biomarker)|MCP-1 levels (serum inflammatory biomarker)|TNF alpha levels (serum inflammatory biomarker)"
"ARDS, Human|Coronavirus",Composite outcome of death rate (rate of patients that did not survive) and organ failure rate (rate of patients surviving with persistent organ dysfunction) at day 28|Length of stay ICU|Plasma Inflammatory markers|Length of stay at hospital|Sex-related differences in complications
"ARDS, Human|Covid-19",Oxygen saturation|Oxygen pressure in inspiration|ground-glass opacity|Pneumonia infiltration|Lactate dehydrogenase|C-reactive protein|D-dimer|Ferritine
"ARDS, Human|Covid19","Index Hospital Survival|Time to Mechanical Ventilator Liberation|Hospital Readmission, Incidence of Treatment-Emergent Serious Adverse Events|Number of Participants with Abnormal Clinical Significant Laboratory Values in Hematology.|Number of Participants with Changes in Echocardiography Overall Assessment|Number of Participants with Changes to overall assessment of Electrocardiogram|Time to recovery of Sp02|Number of Participants with Abnormal Clinical Significant Lab Values in the Blood Chemistry testing.|Number of Participants with Abnormal Clinical Significant Lab Values in the Coagulation.|Number of Participants with Abnormal Clinical Significant Lab Values in the Urinalysis|Immunity|Change in Imaging via X-ray|Change in Imaging via Computerized Tomography"
"ARDS, Human|Mechanical Ventilation Complication|COVID19",The effect of prone positioning on requirement for invasive mechanical ventilation in patients with COVID 19 induced respiratory failure.|Length of time tolerating prone positioning|PaO2/FiO2 measured before prone positioning|PaO2/FiO2 ratio after 1 hours of prone positioning|SpO2/FiO2 ratio measured before prone positioning|SpO2/FiO2 ratio after 1 hours of prone positioning|Number requiring increase in ventilatory assistance (CPAP+BIPAP+IMV etc)|Work of breathing assessment (Respiratory distress scale)|Changes in bioimpedance measures of lung edema in patients in PP|Use of awake prone positioning as a rescue intervention in control patients
"ARDS|ARDS, Human","Time course of extravascular lung water (EVLW)|Time course of pulmonary vascular permeability index (PVPI)|Value of extravascular lung water index (EVLW)|Value of pulmonary vascular permeability index (PVPI)|Daily fluid balance|Need in catecholamines|time between sedation cessation and first weaning trial|Ventilator free days|Mortality|Oxygenation assessed with PaO2/FiO2 ratio|Plasma and alveolar levels of proinflammatory cytokines : tumor necrosis factor alpha (TNFα, interleukin (IL)-1β, IL-6, IL-8|Cardiac index|Global End Diastolic Volume index|Blood pressure|Correlation between data provided by transpulmonary thermodilution (extravascular lung water, pulmonary vascular permeability index, cardiac index, global end-diastolic volume) and 28-day mortality"
ARDS|Acute Respiratory Distress Syndrome|Covid19|Endothelial Dysfunction|Pulmonary Edema,Change in extravascular lung water index|Pulmonary vascular permeability|PaO2/FiO2 ratio as measure of gas-exchange|Oxygenation index as measure of gas-exchange|Driving pressure as an indicator of global lung strain|Compliance as a measure of respiratory mechanics|Mechanical power as quantification of the energy load delivered to the lung per positive pressure breath|Pro-inflammatory cytokines|Matrix metalloproteinases as markers of inflammation|D-dimer as an inflammatory biomarker|Angiopoietin-1 and -2 as biomarkers of endothelial activation and injury|Soluble thrombomodulin as a biomarker of endothelial activation and injury|Surfactant as biomarker of lung epithelial injury|Protein biomarkers of lung epithelial injury|SOFA score as organ function and outcome measure|WHO ordinal scale for clinical improvement as functional outcome measure|Morbidity and mortality outcomes|28-day mortality|Hemoglobin cell count as drug safety parameter|Blood cell count as drug safety parameter|Serum creatinine as measure of kidney function|Estimated glomerular filtration rate as measure of kidney function|Electrolytes as drug safety parameters|Liver enzymes as drug safety parameter|Serum bilirubin as drug safety parameter|NT-proBNP as drug safety parameter|Reporting of adverse and serious adverse events|Corrected QT interval on ECG|Total concentration as a pharmacokinetic measure of imatinib|Free fraction as a pharmacokinetic measure of imatinib|Imatinib metabolite AGP|Imatinib metabolite albumin|Thoracic ultrasound
ARDS|COVID,Correlation between impudence deterioration to clinical conditions and hospitalization period
ARDS|COVID-19,"Proportion of patients with altered spleep|Sleep architecture at hospital discharge|Sleep monitoring during hospital stay after ICU discharge|Sleep quality|Sleep architecture at month-3|Cost of ICU hospitalization, lung injury score|D-dimers|phenotype|pro-resolving lipid mediators|cytokines|chemokines|Survival|extubation|lymphocyte subpopulations|SARS-CoV-2-specific antibody titers|complement molecules (C5-C9)"
ARDS|COVID19,Proportion of patients improving PaO2/FiO2 ratio at 6 hours of APRV|Number of interventions on ventilator settings|Change in mean blood pressure|Change in heart rate|Changes in catecholamine doses|Changes in static compliance at the end of 6 hours of APRV|Variations of minute ventilation|Changes in static compliance 4 hours after stopping APRV|Proportion of patients with a decrease of the PaO2/FiO2 ratio
ARDS|Covid19|Acute Hypoxemic Respiratory Failure,Duration in prone position|Change in P:F ratio|Change in Drive Pressure|Unplanned extubations|Pressure ulcers|Line displacement|Duration of mechanical ventilation|Mortality|Rescue Interventions
"ARDS|Covid19|Influenza, Human",Dose-Limiting Toxicities|28 day all-cause mortality will be a primary end point for Phase 1 and 2
ARDS|Hypercapnic Respiratory Failure|AKI,Delta change in arterial partial pressure of carbon dioxide during ECCO2R treatment|Change in vasopressor use during ECCO2R|Assessment of changes in tidal volume during ECCO2R|Assessment of changes in pH during ECCO2R|Assessment of changes in Positive End-Expiratory Pressure during ECCO2R|Number of participants with adverse events directly related to ECCO2R|Rate of technical adverse events related to ECCO2R|Delta change in venous partial pressure of carbon dioxide before and after ECCO2R membrane
Abdominal Cancer|Thoracic Cancer,Recruitment Rate|Adherence|Program Completion Rate|frequency of Technological Failures|Intervention-Related Adverse Events|Rational for Refusal to Participate|Rational for Low Compliance|Rational for Drop-Outs|30 Second Sit-to-Stand|Time-Up and Go (TUG)|2- or 6-Minute Walk Test|Abridged-Scored Patient-Generated Subjective Global Assessment (PG-SGA)|Body Mass Index (BMI)|CRP|Serum Albumin|Duke Activity Status Index (DASI)|Quality of Life (EQ5D)|The Hospital Anxiety and Depression Scale (HADS)|Distress Thermometer|The WHO Disability Assessment Schedule v2.0 (WHODAS)|The Energy Expenditure (CHAMPS)|The Clavien-Dindo Classifications(CDC)|The Comprehensive Complication Index (CCI)|The 30-day Mortality|Length of Intensive Care Stay|Days with a chest tube|Length of Hospital Stay
Abortion Early,The proportion of participants with a successful abortion|The proportion of participants reporting satisfaction with telehealth for abortion|The proportion of participants reporting they would use the telehealth option again if needed|The total percentage of participants who carried out the study tasks as directed.|The total percentage of participants who experienced a major adverse event
Abortion|Contraception,"Person-centered abortion and family planning scale|Percent of clients reporting essential person-centered care components|Percent of providers that agree they could support a woman having an abortion or using family planning if they didn't agree with their decision|Level of knowledge around interpretation for legal grounds for abortion in Ethiopia|Volume of patients|Patient referrals by promoters|Percent of providers who believe that women should have access to safe, comprehensive abortion care regardless of COVID-19 in Ethiopia"
"Accelerated Phase CML, BCR-ABL1 Positive|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Chronic Lymphocytic Leukemia|Chronic Phase CML, BCR-ABL1 Positive|COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Hodgkin Lymphoma|Lymphoblastic Lymphoma|Myelodysplastic Syndrome|Myelofibrosis|Myeloproliferative Neoplasm|Non-Hodgkin Lymphoma",Severe acute respiratory syndrome (SARS)-Coronavirus 2 (CoV-2) Spike protein (S)-specific IgG concentration and T cell levels|SARS-CoV-2 nucleocapsid protein (N) -specific IgG concentration and T cell levels|SARS-CoV-2 neutralizing antibodies|SARS-CoV-2 IgA concentration
Access to Chiropractic Care Services,Pain intensity|Pain duration|Pain frequency|Pain perceived improvement|Pain interference|Pain Catastrophizing Scale|Tampa Scale Kinesiophobia|General Anxiety Disorder scale|Fear of Illness and Virus Evaluation
Actinic Keratoses|Precancerous Skin Lesion,Resolution of AK Lesions Following Microwave Treatment|Complete Resolution of AKs Following Microwave Treatment|Partial Resolution of AKs Following Microwave Treatment|Level of Pain Experienced During Treatment|Duration of Pain Post Treatment|Change in Ki67 Staining Determined Immunohistochemically by the Use of Specific Antibodies on Fixed Material|Change in Hematoxylin and Eosin Stain|Change in Apoptotic Cells Determined Using the ApopTag Peroxidase Detection Kit|Change in Gene Activity Determined by ApopTag Peroxidase
Activities|Mental Health Issue|Life Style,World Health Organization Quality of Life-Brief Scale|Open-ended Interview
Acupuncture|Covid19,Changes of percentage of lymphocyte count|Changes of Erythrocyte sedimentation rate|Changes of Ferritin level|Changes of C-Reactive Protein level|Clinical changes
Acute Appendicitis,"Mortality|Failure of primary proposed treatment|length of stay|Re-attendance|Imaging|Intra-operative findings during surgery, complicated appendicitis, Preoperative IG count of the patients to differentiate complicated and uncomplciated acute appendicitis|Preoperative IG count for selection of medical treatment patients of noncomplicated acute appendicitis|Preoperative IG percentage of the patients to differentiate complicated and uncomplciated acute appendicitis|Preoperative IG percentage for selection of medical treatment patients of noncomplicated acute appendicitis"
Acute Coronary Syndrome|Depression|Myocardial Infarction|Unstable Angina|STEMI|NSTEMI - Non-ST Segment Elevation MI,Recruitment feasibility: percent of participants recruited and enrolled|Eligibility feasibility: percent of participants determined eligible|MBCT feasibility: Percent of participants adherent to the MBCT intervention|Videoconferencing feasibility: number and type of videoconferencing difficulties|Blood spot feasibility: rate of adequate blood spot sample completion|MBCT acceptability: ratings of intervention satisfaction|Videoconferencing acceptability: ratings of videoconferencing satisfaction|Blood spot acceptability: blood spot collection ease and comfort|Patient Health Questionnaire (PHQ-9)|Five Factor Mindfulness Questionnaire- 15 item (FFMQ-15)|The Positive and Negative Affect Schedule-Positive Affect (PANAS-PA)|Rumination Response Scale (RRS)|Self-Other Four Immeasurables (SOFI)|Interpersonal Reactivity Index (IRI)|one item from the Short Form-12 (SF-12)|PROMIS Physical Function (PROMIS-PF)|Hospital Anxiety and Depression Scale (HADS)|Current Experiences Scale (CES)|Expectancy Questionnaire (EQ)|COVID Items
Acute Coronary Syndrome|Heart Failure|COVID,Incidence of recurrent Major Cardiovascular Events (MACE) and urgent rehospitalization
Acute Disease|Coronavirus|Respiratory Viral Infection,SAMBA COVID-19 POC PCR Test|Patient acceptability|Immune Response Positivity
Acute Hypoxemic Respiratory Failure,"60-day mortality|Ventilator-free days, Primary Biochemical Objective to measure levels of citrulline and arginine in the Blood|The primary safety objective is a beneficial effect of intravenous L-Citrulline on hemodynamic status.|Primary Clinical Objective|Evaluate the Safety of L-Citrulline|Evaluate the effect of intravenous L-Citrulline compared to placebo as measured by the total length of all mechanical ventilation|Evaluate the Effect of IV L-Citrulline to Placebo for Hospital all cause mortality|Evaluate the Effect of IV L-Citrulline to Placebo on length of ICU and Hospital Stay|Evaluate overall difference in intubation rates|Evaluate overall duration of mechanical ventilation from consent and post-infusion"
Acute Hypoxemic Respiratory Failure|COVID-19,"The time-to-death from all causes|The time to need for mechanical ventilation (MV)|The viral load in the respiratory tract|Number of patient with at least one episode of healthcare-associated infections|Number of days alive without mechanical ventilation|Measure of SOFA score|Number of days alive without renal replacement therapy|Lengths of ICU-stay|Lengths of hospital-stay|Number of patients with severe hypoxemia,|Proportion of patients with cardiac arrest within 1 hour after intubation|Overall survival"
Acute Kidney Injury,"MRI assessment of global organ structure at 12 months.|MRI assessment of thrombi (R2*) at 12 months.|MRI assessment of organ perfusion (Arterial spin labelling [ASL]) at 12 months.|MRI assessment of global organ structure.|MRI assessment of thrombi (R2*).|MRI assessment of organ perfusion (ASL)|Correlations between MRI measures with estimated glomerular filtration rate.|Correlations between MRI measures with urine albumin and protein creatinine ratios.|Correlations between MRI measures with mental component score.|Correlations between MRI measures with physical component score.|Correlations between MRI measures with health state score.|Correlations between MRI measures with visual analogue score.|Correlations between MRI measures with fatigue severity.|Correlations between MRI measures with fatigue score.|Correlations with MRI measures with skin autofluorescence levels.|Mean change in mental component score.|Mean change in physical component score.|Mean change in health state score.|Mean change in visual analogue score.|Mean change in fatigue severity scale.|Mean change in fatigue score.|Mean change in skin autofluorescence levels.|Incidence of kidney disease progression.|Incidence of cardiovascular events.|Correlations between MRI measures with all-cause mortality., Incidence of kidney disease progression at 12 months.|Incidence of albuminuria at 6-9 months.|Incidence of albuminuria at 12-15 months.|Incidence of combined kidney disease progression and albuminuria at 6-9 months.|Incidence of combined kidney disease progression and albuminuria at 12-15 months.|Factors associated with all-cause mortality at 6-9 months.|Factors associated with all-cause mortality at 12-15 months.|Incidence of hospital readmissions at 6-9 months|Incidence of hospital readmissions at 12-15 months, KDIGO, All-cause mortality|acute kidney injury|Mechanical ventilation"
Acute Kidney Injury Due to Sepsis,"28-day all-cause mortality|To investigate the effect of recAP on long-term Major Adverse Kidney Events (MAKE).|To investigate the effect of recAP on use of organ support, i.e., mechanical ventilation (MV), Renal Replacement Therapy (RRT), vasopressors or inotropes.|To investigate the effect of recAP on length of stay (LOS) in ICU.|To investigate the effect of recAP on 90-day allcause mortality"
Acute Kidney Injury|COVID,Acute Kidney Injury (AKI)|Survival|Rate of Extracorporeal Therapy Requirement|Fluid overload|Rate of nephrotoxic medication exposure
Acute Kidney Injury|COVID-19|ARDS,Occurence of acute kidney injury (AKI)|Occurence of transient and persistent AKI|Occurence of Renal replacement therapy during hospital stay|Duration of renal replacement therapy|Mortality|Duration of mechanical ventilation|Duration of vasopressor administration|ICU length of stay|Hospital length of stay
Acute Kidney Injury|Corona Virus Infection,GFR loss|Cystatin C as indicator of mortality|Cystatin C as indicator of respiratory illness|Cystatin C as indicator of disease severity|Renal function changes during hospital stay|Incidence of AKI
Acute Kidney Injury|Covid19,Clotted dialyzers|Time-free of clotting|Number of dialyzers used|Pressure variation|Urea sieving|Downtime of dialysis
Acute Kidney Injury|Covid19|Renal Dysfunction|Coronavirus Infection|AKI|Pediatric Kidney Disease|Renal Insufficiency,determine the prevalence of renal dysfunction in hospitalized children with COVID19 in Qatar.
Acute Lung Injury,"The proportion of patients who achieve treatment success through Day 28, defined as avoidance of death and critical illness|Number of Participants With Treatment-emergent Adverse Events (TEAEs), Treatment-emergent fatal and life-threatening SAEs, Treatment-emergent Serious Adverse Events|Change in safety laboratory parameters"
Acute Lung Injury (ALI) Associated With COVID-19|Inflammatory Lung Conditions Associated With COVID-19,Safety and Tolerability of SAD of TD-0903: Adverse Events|Safety and Tolerability of MAD of TD-0903: Adverse Events|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): AUC|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): Cmax|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): Tmax|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): AUC|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): Cmax|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): Tmax
Acute Lung Injury (ALI) Associated With COVID-19|Lung Inflammation Associated With COVID-19,Part 2: Respiratory Failure-Free Days (RFDs)|Part 2: Clinical Status Scale|Part 2: Subjects alive and respiratory failure-free|Part 2: SaO2/FiO2 ratio
Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Respiratory Failure|Sars-CoV2,Survival rate|Change in Clinical Status assessed by the World Health Organization (WHO) scale|Change in Clinical Status assessed by the National Institute of Allergy and Infectious Disease (NIAID) scale
Acute Lung Injury|ALI|COVID-19,"Frequency and severity of Adverse Events, including Serious Adverse Events, by treatment group and dose level, including the frequency of premature discontinuation of study intervention due to Adverse Events.|Incidence of clinically significant changes from baseline in clinical laboratory values, ADA, autoantibody panel, vital signs, physical examination, ECG, radiography, and concomitant medications.|Number of patients with positive ADA titers after receiving a single dose (Part A) or multiple doses (Part B) of RLS-0071.|Estimates of single-dose maximum plasma concentration (Cmax) for RLS-0071.|Estimates of single-dose time to maximum plasma concentration (Tmax) for RLS-0071.|Estimates of single-dose minimum plasma concentration (Cmin) for RLS-0071.|Estimates of single-dose area under the plasma concentration-time curve (AUC) for RLS-0071.|Estimates of single-dose apparent total volume of distribution for RLS-0071.|Estimates of single-dose apparent total body clearance for RLS-0071.|Estimates of single-dose apparent first-order terminal elimination half-life for RLS-0071.|Estimates of multiple-dose maximum plasma concentration (Cmax) for RLS-0071.|Estimates of multiple-dose peak time to maximum plasma concentration (Tmax) for RLS-0071.|Estimates of multiple-dose area under the plasma concentration-time curve (AUC) for RLS-0071.|Estimates of multiple-dose average plasma drug concentration observed (Cavg) for RLS-0071.|Estimates of multiple-dose trough concentration prior to dose administration (Ctrough).|Estimates of multiple-dose apparent total volume of distribution for RLS-0071.|Estimates of multiple-dose apparent total body clearance for RLS-0071.|Estimates of multiple-dose apparent first-order terminal elimination half-life for RLS-0071.|Assessment of dose response relationship of single and multiple doses of RLS-0071 on C1q levels and the complement activity assay.|Overall survival.|Incidence of progression to respiratory failure requiring mechanical ventilation.|Incidence of transfer to the ICU.|Duration of hospitalization after treatment (days).|Incidence, severity, and duration after treatment (days) of fever (≥ 39.0°C).|Incidence, severity, and duration after treatment (days) of cough per investigator assessment of CTCAE's latest version.|Duration of requirement for supplemental oxygen after treatment (days).|PaO2/FiO2|Incidence, severity, and duration after treatment (days) of new cardiovascular events as assessed by the investigator (e.g. myocardial infarction, stroke, TIA, ischemic limb) with CTCAE's latest version.|Incidence, severity, and duration after treatment (days) of respiratory acidosis as assessed by the investigator with CTCAE's latest version.|Incidence and duration after treatment (days) of dialysis.|Levels of complement activity (eg, CH50).|Levels of C1q (free and bound to RLS-0071)."
Acute Myeloblastic Leukemia|Acute Lymphoblastic Leukemia|SARS-CoV-2,Clinical prognostic factors for infection with COVID-19|Biological prognostic factors for infection with COVID-19|Medical care of Coronavirus infection
Acute Myocardial Infarction,Characterizing type 2 myocardial infarction associated with CoV-2 SARS infection
"Acute Myocardial Infarction|Ventricular Tachycardia|Sudden Cardiac Death|Stroke, Acute",Acute cardiovascular event triggered by COVID-19 stress|Ventricular tachycardia|acute stroke|Implantable cardioverter defibrillator (ICD) shock
